Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
217.9.235.224/28;217.9.235.192 - 217.9.235.255;ASSIGNED PA;A1BG-corporate;Bulgaria, Sofia,A1 Bulgaria EAD,FIBER optics, static,Corporate customers;217.9.232.0/21;IBGC;AS13124
212.91.166.48/28;212.91.166.0 - 212.91.166.191;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Clients;212.91.160.0/19;Spectrum NET PA space;AS8717
213.169.41.176/28;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
80.253.49.0/28;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.48.0/21;A1 Bulgaria EAD SZ;AS13124
195.24.36.192/27;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.36.0/23;Orbitel;AS8672
195.24.40.192/27;195.24.40.128 - 195.24.40.255;ASSIGNED PA;ORBITEL-PLOVDIV-CUSTOMER-1;Orbitel Plovdiv pop - /30 to customer interfaces,Plovdiv, Bulgaria;195.24.40.0/22;Orbitel;AS8672
84.242.144.32/27;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
92.247.241.160/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.236.32/28;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
87.227.156.192/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
84.242.165.64/26;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
92.247.252.0/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
87.227.150.32/27;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.63.48/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
84.242.163.0/26;84.242.163.0 - 84.242.163.63;ASSIGNED PA;Dunavpress;Ruse;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
213.169.51.192/27;213.169.51.128 - 213.169.51.255;ASSIGNED PA;SPNET;Razgrad;213.169.32.0/19;Spectrum NET PA space;AS8717
212.36.10.224/28;212.36.10.0 - 212.36.10.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.10.0/24;;AS8717
195.24.61.128/25;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.61.0/24;Orbitel-stz-game;AS8672
82.147.141.64/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
92.247.225.128/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
62.204.142.16/28;62.204.142.0 - 62.204.142.255;ASSIGNED PA;ACVILON-BG;Vanilla Web Instruments Ltd.,Ruse;62.204.128.0/19;Spectrum NET PA space;AS8717
92.247.250.192/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
195.149.254.96/28;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
92.247.242.208/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.197.224/28;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
88.203.151.192/26;88.203.144.0 - 88.203.155.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;88.203.144.0/21;Spectrum NET PA space;AS8717
195.24.48.32/27;195.24.48.0 - 195.24.48.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.48.0/24;PPPoE Targovishte i Ruse;AS29580
212.95.182.176/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.182.0/24;Orbitel;AS8672
212.95.182.64/27;212.95.182.64 - 212.95.182.95;ASSIGNED PA;INTERSPACE-2;colocation,Sofia;212.95.182.0/24;Orbitel;AS8672
213.169.57.64/26;213.169.32.0 - 213.169.63.255;ALLOCATED PA;BG-MTELNET-20001219;;213.169.32.0/19;Spectrum NET PA space;AS8717
87.227.157.128/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
82.103.73.176/28;82.103.73.0 - 82.103.73.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;82.103.73.0/24;;AS8717
212.91.188.64/28;212.91.188.0 - 212.91.188.255;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Clients;212.91.188.0/24;;AS8717
212.95.168.192/26;212.95.168.112 - 212.95.168.255;ASSIGNED PA;ORBITEL-GAB-PPP;PPP links to customers in Gabrovo;212.95.168.0/23;Orbitel;AS8672
195.24.41.128/25;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.40.0/22;Orbitel;AS8672
82.147.150.112/28;82.147.150.0 - 82.147.150.255;ASSIGNED PA;ORBITEL-BURGAS-2;Orbitel Burgas pop,Burgas;82.147.128.0/19;Orbitel customer and internal;AS8672
212.50.9.64/26;212.50.9.64 - 212.50.9.127;ASSIGNED PA;COMPUTEL-BG;Computel Ltd.;212.50.0.0/19;Spectrum NET PA space;AS8717
212.91.163.240/28;212.91.163.0 - 212.91.163.255;ASSIGNED PA;SPNET;Spectrum Net - Varna,Wireless clients;212.91.160.0/19;Spectrum NET PA space;AS8717
87.227.149.176/28;87.227.148.0 - 87.227.149.255;ASSIGNED PA;VOICE-Varna;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
217.9.225.160/27;217.9.224.0 - 217.9.225.255;ASSIGNED PA;A1-225;A1 Bulgaria EAD,Sofia,Bulgaria;217.9.225.0/24;A1 BG,Multiple /30 Allocations;AS13124
78.83.252.0/25;78.83.248.0 - 78.83.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;78.83.248.0/21,78.83.248.0/21;SPNET,Spectrum NET PA space;AS29580,AS8717
195.34.102.208/28;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
195.24.59.0/27;195.24.59.0 - 195.24.59.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Rus;195.24.59.0/24;PPPoE Targovishte i Ruse;AS29580
82.147.150.192/26;82.147.150.0 - 82.147.150.255;ASSIGNED PA;ORBITEL-BURGAS-2;Orbitel Burgas pop,Burgas;82.147.128.0/19;Orbitel customer and internal;AS8672
92.247.231.0/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
212.36.5.0/27;212.36.5.0 - 212.36.5.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm) POPs;212.36.0.0/19;Spectrum NET PA space;AS8717
213.222.34.64/28;213.222.34.64 - 213.222.34.83;ASSIGNED PA;ORBITEL-3;Orbitel Inc,Sofia;213.222.34.0/24;;AS8717
88.203.154.128/25;88.203.144.0 - 88.203.155.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;88.203.152.0/22;Spectrum NET PA space;AS8717
87.227.156.96/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
92.247.226.176/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.227.16/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.247.128/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
195.149.249.64/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
213.169.59.96/27;213.169.32.0 - 213.169.63.255;ALLOCATED PA;BG-MTELNET-20001219;;213.169.32.0/19;Spectrum NET PA space;AS8717
82.147.132.16/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
212.50.0.176/28;212.50.0.0 - 212.50.0.255;ASSIGNED PA;SPNET;Spectrum NET Ltd.,Sofia;212.50.0.0/24;Spectrum NET PA space;AS8717
62.221.141.96/27;62.221.128.0 - 62.221.141.255;ASSIGNED PA;A1BG-Sofia-DOCSIS;A1 Bulgaria EAD;62.221.141.0/24;BLIZOO;AS13124
84.242.137.192/27;84.242.137.0 - 84.242.137.255;ASSIGNED PA;ORBITEL-BURGAS;PPP to customers in Burgas;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
84.242.135.112/28;84.242.135.0 - 84.242.135.255;ASSIGNED PA;Orbitel-PPP;point-to-point connections to sustomers;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
87.227.145.112/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.44.128/26;195.24.44.128 - 195.24.44.191;ASSIGNED PA;ORBITEL-STATIC-DIALUP;Orbitel Static Dialup pool,Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
195.24.63.144/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
92.247.221.64/28;92.247.216.0 - 92.247.223.255;ASSIGNED PA;GPON-SofiaNorth;GPON Services;92.247.192.0/18;SPNET;AS29580
80.253.49.64/26;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.48.0/21;A1 Bulgaria EAD SZ;AS13124
195.149.249.96/28;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
87.227.149.0/26;87.227.148.0 - 87.227.149.255;ASSIGNED PA;VOICE-Varna;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
82.147.155.32/27;82.147.155.0 - 82.147.155.255;ASSIGNED PA;ECnet;ExecutiveCentre building;82.147.128.0/19;Orbitel customer and internal;AS8672
84.242.185.64/26;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.184.0/23;MOBILTEL_EAD_B&R_CUSTOMERs;AS8717
92.247.0.64/26;92.247.0.0 - 92.247.7.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.0.0/20;Spectrum NET PA space;AS8717
82.103.118.192/26;82.103.64.0 - 82.103.127.255;ALLOCATED PA;BG-MTELNET-20040113;;82.103.64.0/18;Spectrum NET PA space;AS8717
62.221.132.192/28;62.221.128.0 - 62.221.141.255;ASSIGNED PA;A1BG-Sofia-DOCSIS;A1 Bulgaria EAD;62.221.132.0/24;BLIZOO;as13124
92.247.216.32/27;92.247.216.0 - 92.247.223.255;ASSIGNED PA;GPON-SofiaNorth;GPON Services;92.247.192.0/18;SPNET;AS29580
212.36.1.192/28;212.36.0.0 - 212.36.2.159;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
195.24.41.80/28;195.24.41.32 - 195.24.41.127;ASSIGNED PA;ORBITEL-PLO-PPP;for PPP connections to customers in Plovdiv;195.24.40.0/22;Orbitel;AS8672
92.247.250.144/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
212.50.10.0/28;212.50.10.0 - 212.50.10.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;212.50.10.0/24;;AS8717
212.95.160.224/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.149.255.128/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
195.24.63.0/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
92.247.233.240/28;92.247.232.0 - 92.247.239.255;ASSIGNED PA;GPON-Sofia;GPON Services;92.247.192.0/18;SPNET;AS29580
195.24.38.0/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
78.83.248.192/26;78.83.248.0 - 78.83.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;78.83.248.0/22;SPNET;AS29580
92.247.230.48/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.82.208/28;92.247.80.0 - 92.247.87.255;ASSIGNED PA;SPNET-PON-OK-3;PON Services;92.247.80.0/21;Spectrum Net;AS8717
92.247.198.32/28;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.35.160/27;92.247.32.0 - 92.247.39.255;ASSIGNED PA;SPNET-PON-OK-1;PON Services;92.247.32.0/19;Spectrum NET PA space;AS29580
92.247.84.16/28;92.247.80.0 - 92.247.87.255;ASSIGNED PA;SPNET-PON-OK-3;PON Services;92.247.80.0/21;Spectrum Net;AS8717
212.91.167.32/28;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
84.242.181.240/28;84.242.180.0 - 84.242.183.255;ASSIGNED PA;Orbitel-PPP;point-to-point connections to customers;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
212.91.172.224/27;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
84.242.176.224/27;84.242.176.0 - 84.242.176.255;ASSIGNED PA;ORBITEL-SOF-POP;point-to-point links,Sofia;84.242.176.0/24;;AS8717
92.247.247.32/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
84.242.142.160/27;84.242.128.0 - 84.242.191.255;ALLOCATED PA;BG-MTELNET-20050712;;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
87.227.159.0/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
92.247.193.16/28;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
212.91.189.96/27;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.91.175.128/28;212.91.175.0 - 212.91.175.255;ASSIGNED PA;MGU-BG;University of Mining and Geology;212.91.160.0/19;Spectrum NET PA space;AS8717
82.147.130.112/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.130.0/24;ORBITEL-NET-1;AS8672
213.169.54.96/27;213.169.54.64 - 213.169.54.255;ASSIGNED PA;SPNET;Spectrum Net POPs;213.169.32.0/19;Spectrum NET PA space;AS8717
78.83.143.160/27;78.83.0.0 - 78.83.255.255;ALLOCATED PA;BG-MTELNET-20071416;;78.83.143.0/24;;AS8717
212.50.13.0/27;212.50.13.0 - 212.50.13.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;212.50.0.0/19;Spectrum NET PA space;AS8717
195.24.45.208/28;195.24.45.128 - 195.24.45.255;ASSIGNED PA;ORBITEL-VTARNOVO-2;Orbitel Inc,V. Tarnovo;195.24.32.0/19;Orbitel customer and internal;AS8672
213.222.58.144/28;213.222.58.144 - 213.222.58.159;ASSIGNED PA;ORBITEL-PERNIK-1;Orbitel Inc,Pernik;213.222.58.0/24;Orbitel;AS8672
82.147.128.32/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/24;Orbitel-Lovech;AS8672
212.95.183.96/28;212.95.183.96 - 212.95.183.127;ASSIGNED PA;ORBITEL-SOF-POP;PPP links in Sofia;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
82.147.140.144/28;82.147.140.0 - 82.147.140.255;ASSIGNED PA;ORBITEL-RUSE-2;point-to point links to customers,Ruse;82.147.140.0/24;Orbitel-Ruse;AS8672
213.169.40.48/28;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
92.247.249.144/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
87.227.158.0/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
92.247.255.64/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
88.203.137.224/28;88.203.136.0 - 88.203.139.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;88.203.136.0/21;Spectrum NET PA space;AS8717
195.149.249.128/25;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
212.95.180.128/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
62.204.142.32/27;62.204.142.0 - 62.204.142.255;ASSIGNED PA;ACVILON-BG;Vanilla Web Instruments Ltd.,Ruse;62.204.128.0/19;Spectrum NET PA space;AS8717
62.204.148.192/28;62.204.148.0 - 62.204.148.255;ASSIGNED PA;SPNET;Spectrum NET Ltd.;62.204.128.0/19;Spectrum NET PA space;AS8717
78.83.4.96/27;78.83.0.0 - 78.83.7.255;ASSIGNED PA;SPNET;Sofia, Bulgaria;78.83.0.0/20;SPNET;AS8717
195.34.108.128/27;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
212.36.4.176/28;212.36.4.0 - 212.36.4.255;ASSIGNED PA;SPNET;Techno-Link (tm);212.36.4.0/24;Spectrum NET,BG-ONLY NETS;AS8717
212.91.166.144/28;212.91.166.0 - 212.91.166.191;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Clients;212.91.160.0/19;Spectrum NET PA space;AS8717
82.103.116.0/28;82.103.64.0 - 82.103.127.255;ALLOCATED PA;BG-MTELNET-20040113;;82.103.116.0/24;;AS8717
92.247.247.192/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
