Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
212.50.19.128/28;212.50.19.128 - 212.50.19.255;ASSIGNED PA;DIMONT-BG;web design;212.50.0.0/19;Spectrum NET PA space;AS8717
195.24.41.80/28;195.24.41.32 - 195.24.41.127;ASSIGNED PA;ORBITEL-PLO-PPP;for PPP connections to customers in Plovdiv;195.24.40.0/22;Orbitel;AS8672
212.95.160.224/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
195.149.255.128/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
195.24.38.0/28;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
212.50.19.176/28;212.50.19.128 - 212.50.19.255;ASSIGNED PA;DIMONT-BG;web design;212.50.0.0/19;Spectrum NET PA space;AS8717
77.70.0.144/28;77.70.0.0 - 77.70.127.255;ALLOCATED PA;BG-MTELNET-20070221;;77.70.0.0/22;Liulin 8;AS35141
213.222.56.32/28;213.222.56.32 - 213.222.56.47;ASSIGNED PA;ACTSOFT-1;ACT-SOFT - bulgaria,Sofia;213.222.56.0/24;Orbitel;AS8672
212.91.172.224/27;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.91.189.96/27;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.91.175.128/28;212.91.175.0 - 212.91.175.255;ASSIGNED PA;MGU-BG;University of Mining and Geology;212.91.160.0/19;Spectrum NET PA space;AS8717
82.147.130.112/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.130.0/24;ORBITEL-NET-1;AS8672
213.169.54.96/27;213.169.54.64 - 213.169.54.255;ASSIGNED PA;SPNET;Spectrum Net POPs;213.169.32.0/19;Spectrum NET PA space;AS8717
83.97.31.192/26;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
212.50.13.0/27;212.50.13.0 - 212.50.13.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;212.50.0.0/19;Spectrum NET PA space;AS8717
195.24.45.208/28;195.24.45.128 - 195.24.45.255;ASSIGNED PA;ORBITEL-VTARNOVO-2;Orbitel Inc,V. Tarnovo;195.24.32.0/19;Orbitel customer and internal;AS8672
195.149.250.192/26;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
82.147.128.32/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/24;Orbitel-Lovech;AS8672
213.169.40.48/28;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
176.12.35.224/28;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
87.227.158.0/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
213.169.43.0/26;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
195.149.249.128/25;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
212.95.180.128/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
85.91.156.32/27;85.91.128.0 - 85.91.159.255;ALLOCATED PA;BG-MTELNET-20041124;;85.91.128.0/19;Data BG Ltd;AS29580
62.204.142.32/27;62.204.142.0 - 62.204.142.255;ASSIGNED PA;ACVILON-BG;Vanilla Web Instruments Ltd.,Ruse;62.204.128.0/19;Spectrum NET PA space;AS8717
89.190.212.112/28;89.190.192.0 - 89.190.223.255;ALLOCATED PA;BG-MTELNET-20060612;;89.190.212.0/23;Dianabad;AS35141
85.196.167.128/26;85.196.128.0 - 85.196.191.255;ALLOCATED PA;BG-MTELNET-20050117;;85.196.160.0/19;Spectrum NET PA space;AS8717
212.95.168.80/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.168.0/23;Orbitel;AS8672
195.34.108.128/25;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
213.169.51.224/28;213.169.51.128 - 213.169.51.255;ASSIGNED PA;SPNET;Razgrad;213.169.32.0/19;Spectrum NET PA space;AS8717
212.91.166.144/28;212.91.166.0 - 212.91.166.191;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Clients;212.91.160.0/19;Spectrum NET PA space;AS8717
82.103.116.0/28;82.103.64.0 - 82.103.127.255;ALLOCATED PA;BG-MTELNET-20040113;;82.103.116.0/24;;AS8717
212.36.12.0/28;212.36.12.0 - 212.36.12.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
195.24.32.176/28;195.24.32.0 - 195.24.32.255;ASSIGNED PA;ORBITEL-1;Orbitel Ltd. infrastructure;195.24.32.0/19;Orbitel customer and internal;AS8672
84.242.145.208/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
212.95.167.0/25;212.95.167.0 - 212.95.167.255;ASSIGNED PA;ORBITEL-BHOSTING-2;Orbitel Business Hosting,Bulgaria;212.95.164.0/22;Orbitel;AS8672
213.222.38.16/28;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19;Orbitel customer and internal;AS8672
212.95.166.96/28;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.164.0/22;Orbitel;AS8672
195.34.102.208/28;195.34.96.0 - 195.34.127.255;ALLOCATED PA;BG-MTELNET-970819;;195.34.96.0/19;Spectrum NET PA space;AS8717
85.196.134.96/28;85.196.132.0 - 85.196.135.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;85.196.132.0/22;Spectrum NET PA space;AS8717
62.204.148.32/27;62.204.148.0 - 62.204.148.255;ASSIGNED PA;SPNET;Spectrum NET Ltd.;62.204.128.0/19;Spectrum NET PA space;AS8717
82.147.130.64/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.130.0/24;ORBITEL-NET-1;AS8672
195.24.49.0/28;195.24.49.0 - 195.24.49.127;ASSIGNED PA;ORBITEL-RUSE-1;Orbitel Ruse pop - routers, access server,Ruse, Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
195.149.249.32/28;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
82.103.75.192/27;82.103.74.0 - 82.103.75.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;82.103.64.0/18;Spectrum NET PA space;AS8717
212.36.5.96/27;212.36.5.0 - 212.36.5.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm) POPs;212.36.0.0/19;Spectrum NET PA space;AS8717
195.24.47.192/26;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.32.0/19;Orbitel customer and internal;AS8672
87.227.148.128/28;87.227.148.0 - 87.227.149.255;ASSIGNED PA;VOICE-Varna;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.51.32/28;195.24.51.0 - 195.24.51.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.51.0/24;PPPoE Targovishte i Ruse;AS29580
87.227.156.160/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.36.11.160/27;212.36.11.0 - 212.36.11.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
213.169.46.160/27;213.169.46.0 - 213.169.46.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;213.169.32.0/19;Spectrum NET PA space;AS8717
84.242.135.224/28;84.242.135.0 - 84.242.135.255;ASSIGNED PA;Orbitel-PPP;point-to-point connections to sustomers;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
89.190.221.224/28;89.190.216.0 - 89.190.223.255;ASSIGNED PA;SOFIA-EAST-MEGALAN;Sofia East quarters;89.190.220.0/23;Musagenica;AS35141
213.222.60.64/26;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.60.0/24;multilink;AS35448
82.147.148.32/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.148.0/24;NetCom Sliven;AS8672
195.24.63.0/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
82.103.97.0/28;82.103.97.0 - 82.103.97.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;82.103.64.0/18;Spectrum NET PA space;AS8717
82.103.75.32/27;82.103.74.0 - 82.103.75.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;82.103.64.0/18;Spectrum NET PA space;AS8717
87.227.216.64/27;87.227.216.0 - 87.227.216.255;ASSIGNED PA;ORBITEL-Sofia;Orbitel,point-to-point to data customers;87.227.128.0/17,87.227.128.0/17,87.227.128.0/17,87.227.128.0/17;Mobiltel,Mobiltel,Mobiltel,Mobiltel;AS12716,AS29580,AS8672,AS8717
87.227.156.0/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.95.182.32/27;212.95.160.0 - 212.95.191.255;ALLOCATED PA;BG-MTELNET-19990730;;212.95.182.0/24;Orbitel;AS8672
78.90.240.64/26;78.90.240.0 - 78.90.241.255;ASSIGNED PA;GOCE-DELCHEV-SOF;Goce Delchev quarter,Megalan Network Real IP address space;78.90.0.0/16;BG-MEGALAN-20070627;AS35141
85.91.156.64/26;85.91.128.0 - 85.91.159.255;ALLOCATED PA;BG-MTELNET-20041124;;85.91.128.0/19;Data BG Ltd;AS29580
85.196.160.208/28;85.196.160.0 - 85.196.161.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
82.103.95.176/28;82.103.95.0 - 82.103.95.255;ASSIGNED PA;CCBank-BG;Central Cooperative Bank;82.103.64.0/18;Spectrum NET PA space;AS8717
82.147.130.224/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.130.0/24;ORBITEL-NET-1;AS8672
82.147.138.0/27;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
213.222.54.0/25;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.54.0/24;Orbitel;AS8672
85.196.166.80/28;85.196.166.0 - 85.196.166.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
195.24.45.224/27;195.24.45.128 - 195.24.45.255;ASSIGNED PA;ORBITEL-VTARNOVO-2;Orbitel Inc,V. Tarnovo;195.24.32.0/19;Orbitel customer and internal;AS8672
212.95.183.96/28;212.95.183.96 - 212.95.183.127;ASSIGNED PA;ORBITEL-SOF-POP;PPP links in Sofia;212.95.160.0/19,212.95.160.0/19,212.95.160.0/19;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
62.204.151.240/28;62.204.151.0 - 62.204.151.255;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Clients;62.204.128.0/19;Spectrum NET PA space;AS8717
82.147.137.48/28;82.147.128.0 - 82.147.159.255;ALLOCATED PA;BG-MTELNET-20030707;;82.147.128.0/19;Orbitel customer and internal;AS8672
212.91.167.32/28;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
77.70.0.112/28;77.70.0.0 - 77.70.127.255;ALLOCATED PA;BG-MTELNET-20070221;;77.70.0.0/22;Liulin 8;AS35141
82.147.140.144/28;82.147.140.0 - 82.147.140.255;ASSIGNED PA;ORBITEL-RUSE-2;point-to point links to customers,Ruse;82.147.140.0/24;Orbitel-Ruse;AS8672
212.36.2.32/27;212.36.0.0 - 212.36.2.159;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
87.227.151.224/28;87.227.150.0 - 87.227.151.255;ASSIGNED PA;VOICE-Burgas;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.50.19.96/28;212.50.19.0 - 212.50.19.127;ASSIGNED PA;PERNIK-BG;Spectrum Net - Pernik;212.50.0.0/19;Spectrum NET PA space;AS8717
195.24.46.0/28;195.24.46.0 - 195.24.46.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.46.0/24;PPPoE Targovishte i Ruse;AS29580
82.147.144.224/28;82.147.144.0 - 82.147.144.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;82.147.144.0/24;ORBITEL-VoIP-clients;AS8672
85.91.150.224/27;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
212.50.14.224/28;212.50.0.0 - 212.50.31.255;ALLOCATED PA;BG-MTELNET-980310;;212.50.0.0/19;Spectrum NET PA space;AS8717
213.226.45.96/28;213.226.45.0 - 213.226.45.255;ASSIGNED PA;MTELNET;2-nd P-to-P PE-CE SFL,Responsible Devision for Project: ITS;213.226.45.0/24;Mobiltel EAD.;AS12716
176.12.34.0/25;176.12.34.0 - 176.12.35.255;ASSIGNED PA;New_PPOE_clients;New PPOE clients;176.12.0.0/18,176.12.0.0/18;Spectrum NET PA space,Spectrum NET PA space;AS29580,AS8717
212.50.18.64/26;212.50.18.64 - 212.50.18.127;ASSIGNED PA;ULTRACOM-BG;Software Company;212.50.0.0/19;Spectrum NET PA space;AS8717
82.103.113.160/28;82.103.113.0 - 82.103.113.255;ASSIGNED PA;SPNET;Spectrum Net - Varna;82.103.64.0/18;Spectrum NET PA space;AS8717
84.242.138.192/28;84.242.138.0 - 84.242.138.255;ASSIGNED PA;OORBITEL-COUNTRY;country customers;84.242.128.0/18,84.242.128.0/18,84.242.128.0/18;Orbitel customer and internal,Orbitel customer and internal,Orbitel customer and internal;AS12716,AS8672,AS8717
82.147.140.160/28;82.147.140.0 - 82.147.140.255;ASSIGNED PA;ORBITEL-RUSE-2;point-to point links to customers,Ruse;82.147.140.0/24;Orbitel-Ruse;AS8672
212.50.4.192/27;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
85.196.166.32/27;85.196.166.0 - 85.196.166.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
85.196.161.128/25;85.196.160.0 - 85.196.161.255;ASSIGNED PA;SPNET;Spectrum NET Ltd., Sofia;85.196.160.0/19;Spectrum NET PA space;AS8717
87.227.216.208/28;87.227.216.0 - 87.227.216.255;ASSIGNED PA;ORBITEL-Sofia;Orbitel,point-to-point to data customers;87.227.128.0/17,87.227.128.0/17,87.227.128.0/17,87.227.128.0/17;Mobiltel,Mobiltel,Mobiltel,Mobiltel;AS12716,AS29580,AS8672,AS8717
195.24.33.128/28;195.24.33.128 - 195.24.33.255;ASSIGNED PA;ORBITEL-BURGAS-CUSTOMER-1;Orbitel Burgas pop - /30 to customer interfaces,Burgas, Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
87.227.146.64/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.48.176/28;195.24.48.0 - 195.24.48.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Ruse;195.24.48.0/24;PPPoE Targovishte i Ruse;AS29580
212.50.4.112/28;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
195.24.33.0/28;195.24.33.0 - 195.24.33.127;ASSIGNED PA;ORBITEL-BURGAS-1;Orbitel Burgas pop - routers, access server,Burgas, Bulgaria;195.24.32.0/19;Orbitel customer and internal;AS8672
87.227.153.80/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
84.242.128.0/28;84.242.128.0 - 84.242.128.255;ASSIGNED PA;Orbitel-Radio-net;Radio Relay network;84.242.128.0/24;Orbitel customer;AS198868
195.34.111.144/28;195.34.111.0 - 195.34.111.255;ASSIGNED PA;BIT-INC-VOIP;Bulgarian Information Technologies Inc.;195.34.96.0/19;Spectrum NET PA space;AS8717
82.103.95.224/28;82.103.95.0 - 82.103.95.255;ASSIGNED PA;CCBank-BG;Central Cooperative Bank;82.103.64.0/18;Spectrum NET PA space;AS8717
87.227.156.32/28;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
195.24.41.224/27;195.24.32.0 - 195.24.63.255;ALLOCATED PA;BG-MTELNET-971223;;195.24.40.0/22;Orbitel;AS8672
195.24.45.176/28;195.24.45.128 - 195.24.45.255;ASSIGNED PA;ORBITEL-VTARNOVO-2;Orbitel Inc,V. Tarnovo;195.24.32.0/19;Orbitel customer and internal;AS8672
213.169.34.0/27;213.169.32.0 - 213.169.63.255;ALLOCATED PA;BG-MTELNET-20001219;;213.169.32.0/19;Spectrum NET PA space;AS8717
85.91.150.0/28;85.91.149.0 - 85.91.150.255;ASSIGNED PA;STATIC;Spectrum Net Jsc;85.91.128.0/19;Data BG Ltd;AS29580
87.227.144.0/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.95.168.32/28;212.95.168.0 - 212.95.168.63;ASSIGNED PA;ORBITEL-VTA;POP in Veliko Tarnovo;212.95.168.0/23;Orbitel;AS8672
213.169.43.128/25;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.32.0/19;Spectrum NET PA space;AS8717
213.222.58.48/28;213.222.58.48 - 213.222.58.63;ASSIGNED PA;ORBITEL-SLIVEN-1;Orbitel Inc,Sliven;213.222.58.0/24;Orbitel;AS8672
87.227.139.192/27;87.227.128.0 - 87.227.255.255;ALLOCATED PA;BG-MTELNET-20050712;;87.227.128.0/19;ORBITEL-VoIP;AS8672
83.97.28.96/27;83.97.24.0 - 83.97.31.255;ASSIGNED PI;HOMELAN;;83.97.24.0/21;HomeLan Ltd;AS8717
62.204.146.16/28;62.204.146.0 - 62.204.146.255;ASSIGNED PA;SPNET-V;Spectrum Net - Clients;62.204.128.0/19;Spectrum NET PA space;AS8717
87.227.144.48/28;87.227.144.0 - 87.227.147.255;ASSIGNED PA;VOICE-Sofia;Orbitel,point-to-point to voice customers;87.227.128.0/19;ORBITEL-VoIP;AS8672
212.50.12.224/28;212.50.12.224 - 212.50.12.239;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;212.50.0.0/19;Spectrum NET PA space;AS8717
212.36.22.240/28;212.36.22.0 - 212.36.22.255;ASSIGNED PA;SPNET;Spectrum Net - Varna;212.36.0.0/19;Spectrum NET PA space;AS8717
84.242.147.0/28;84.242.145.0 - 84.242.147.255;ASSIGNED PA;ORBITEL-VoIP-clients;VoIP customers;84.242.144.0/22;ORBITEL-VoIP-clients;AS8672
